Roll,Name,Email
1401AI01,Abhishek,Abhishek@mycollege.in
1401AI02,Aman,Aman@mycollege.in
1401AI03,Harsh,Harsh@mycollege.in
1401AI04,Ayush,Ayush@mycollege.in
1401AI05,Aditi,Aditi@mycollege.in
1401AI06,Anjali,Anjali@mycollege.in
1401AI07,Shubham,Shubham@mycollege.in
1401AI08,Anushka,Anushka@mycollege.in
1401AI09,Rohit,Rohit@mycollege.in
1401AI10,Saurabh,Saurabh@mycollege.in
1401AI11,Muskan,Muskan@mycollege.in
1401AI12,Rahul,Rahul@mycollege.in
1401AI13,Utkarsh,Utkarsh@mycollege.in
1401AI14,Vaibhav,Vaibhav@mycollege.in
1401AI15,Amit,Amit@mycollege.in
1401AI16,Saumya,Saumya@mycollege.in
1401AI17,Rishabh,Rishabh@mycollege.in
1401AI18,Shruti,Shruti@mycollege.in
1401AI19,Himanshu,Himanshu@mycollege.in
1401AI20,Kajal,Kajal@mycollege.in
1401AI21,Ankit,Ankit@mycollege.in
1401AI22,Gaurav,Gaurav@mycollege.in
1401AI23,Nikhil,Nikhil@mycollege.in
1401AI24,Siddharth,Siddharth@mycollege.in
1401AI25,Prashant,Prashant@mycollege.in
1401AI26,Priya,Priya@mycollege.in
1401AI27,Harshit,Harshit@mycollege.in
1401AI28,Shashank,Shashank@mycollege.in
1401AI29,Akash,Akash@mycollege.in
1401AI30,Varun,Varun@mycollege.in
1401AI31,Yash,Yash@mycollege.in
1401AI32,Shreya,Shreya@mycollege.in
1401AI33,Harshita,Harshita@mycollege.in
1401AI34,Anurag,Anurag@mycollege.in
1401AI35,Vivek,Vivek@mycollege.in
1401AI36,Swati,Swati@mycollege.in
1401AI37,Vishal,Vishal@mycollege.in
1401AI38,Aditya,Aditya@mycollege.in
1401AI39,Nidhi,Nidhi@mycollege.in
1401AI40,Ayushi,Ayushi@mycollege.in
1401AI41,Krishna,Krishna@mycollege.in
1401AI42,Anshika,Anshika@mycollege.in
1401AI43,Sakshi,Sakshi@mycollege.in
1401AI44,Shivani,Shivani@mycollege.in
1401AI45,Prakhar,Prakhar@mycollege.in
1401CH43,Sanskriti,Sanskriti@mycollege.in
1401CH44,Danish,Danish@mycollege.in
1401CH45,Tamanna,Tamanna@mycollege.in
1401CH46,Unnati,Unnati@mycollege.in
1401CH47,Sachin,Sachin@mycollege.in
1401CH48,Anupam,Anupam@mycollege.in
1401CH49,Shailesh,Shailesh@mycollege.in
1401CH50,Shoaib,Shoaib@mycollege.in
1401CH51,Vishnu,Vishnu@mycollege.in
1401CH52,Surya,Surya@mycollege.in
1401CH53,Pankaj,Pankaj@mycollege.in
1401CH54,Kaif,Kaif@mycollege.in
1401CH55,Pooja,Pooja@mycollege.in
1401CH56,Gayathri,Gayathri@mycollege.in
1401CH57,Pradeep,Pradeep@mycollege.in
1401CH58,Ritu,Ritu@mycollege.in
1401CH59,Dinesh,Dinesh@mycollege.in
1401CH60,Shriya,Shriya@mycollege.in
1401CH61,Tharun,Tharun@mycollege.in
1401CH62,Karan,Karan@mycollege.in
1401CH63,Kiran,Kiran@mycollege.in
1401CH64,Tarun,Tarun@mycollege.in
1401CH65,Samarth,Samarth@mycollege.in
1401CH66,Ruchi,Ruchi@mycollege.in
1401CH67,Udit,Udit@mycollege.in
1401CH68,Rashi,Rashi@mycollege.in
1401CH69,Shailendra,Shailendra@mycollege.in
1401CH70,Sameer,Sameer@mycollege.in
1401CH71,Shubhi,Shubhi@mycollege.in
1401CH72,Siddhant,Siddhant@mycollege.in
1401CH73,Mahi,Mahi@mycollege.in
1401CH74,Kanika,Kanika@mycollege.in
1401CH75,Aishwarya,Aishwarya@mycollege.in
1401CH76,Rajat,Rajat@mycollege.in
1401CH77,Rituraj,Rituraj@mycollege.in
1401CH78,Naman,Naman@mycollege.in
1401CH79,Mukesh,Mukesh@mycollege.in
1401CH80,Roshan,Roshan@mycollege.in
1401CH81,Nandini,Nandini@mycollege.in
1401CH82,Rashmi,Rashmi@mycollege.in
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in
1401CH84,Kriti,Kriti@mycollege.in
1401CB27,Palak,Palak@mycollege.in
1401CB28,Ankur,Ankur@mycollege.in
1401CB29,Richa,Richa@mycollege.in
1401CB30,Ravi,Ravi@mycollege.in
1401CB31,Arpit,Arpit@mycollege.in
1401CB32,Ankita,Ankita@mycollege.in
1401CB33,Shraddha,Shraddha@mycollege.in
1401CB34,Deepak,Deepak@mycollege.in
1401CB35,Priyanka,Priyanka@mycollege.in
1401CB36,Khushi,Khushi@mycollege.in
1401CB37,Shweta,Shweta@mycollege.in
1401CB38,Kavya,Kavya@mycollege.in
1401CB39,Kunal,Kunal@mycollege.in
1401CB40,Dheeraj,Dheeraj@mycollege.in
1401CB41,Akshita,Akshita@mycollege.in
1401CB42,Riya,Riya@mycollege.in
1401CB43,Sneha,Sneha@mycollege.in
1401CB44,Pranjal,Pranjal@mycollege.in
1401CB45,Isha,Isha@mycollege.in
1401CB46,Sumit,Sumit@mycollege.in
1401CB47,Kishan,Kishan@mycollege.in
1401CB48,Pawan,Pawan@mycollege.in
1401CB49,Soumya,Soumya@mycollege.in
1401CB50,Neelesh,Neelesh@mycollege.in
1401MT56,Nishchay,Nishchay@mycollege.in
1401MT57,Shagun,Shagun@mycollege.in
1401MT58,Joy,Joy@mycollege.in
1401MT59,Reshami,Reshami@mycollege.in
1401MT60,Ronit,Ronit@mycollege.in
1401MT61,Rishu,Rishu@mycollege.in
1401MT62,Prasun,Prasun@mycollege.in
1401MT63,Prakharendra,Prakharendra@mycollege.in
1401MT64,Priyamvada,Priyamvada@mycollege.in
1401MT65,Rajneesh,Rajneesh@mycollege.in
1401MT66,Kausar,Kausar@mycollege.in
1401MT67,Rouby,Rouby@mycollege.in
1401MT68,Sanket,Sanket@mycollege.in
1401MT69,Hari,Hari@mycollege.in
1401MT70,Saumile,Saumile@mycollege.in
1401MT71,Shagufta,Shagufta@mycollege.in
1401MT72,Shaad,Shaad@mycollege.in
1401MT73,Rupali,Rupali@mycollege.in
1401MT74,Jenamani,Jenamani@mycollege.in
1401MT75,Sadiya,Sadiya@mycollege.in
1401MT76,Saksham,Saksham@mycollege.in
1401MT77,Saharsh,Saharsh@mycollege.in
1401MT78,Kushan,Kushan@mycollege.in
1401CT63,Ragini,Ragini@mycollege.in
1401CT64,Priyam,Priyam@mycollege.in
