Roll,Name,Email
1401AI43,Sakshi,Sakshi@mycollege.in
1401CB43,Sneha,Sneha@mycollege.in
1401CE43,Sushil,Sushil@mycollege.in
1401CH43,Sanskriti,Sanskriti@mycollege.in
1401CS43,Akhil,Akhil@mycollege.in
1401CT43,Simaran,Simaran@mycollege.in
1401EC43,Hartesh,Hartesh@mycollege.in
1401MC40,Pushkar,Pushkar@mycollege.in
1401MM40,Hariharan,Hariharan@mycollege.in
1401MT40,Shukant,Shukant@mycollege.in
1401AI44,Shivani,Shivani@mycollege.in
1401CB44,Pranjal,Pranjal@mycollege.in
1401CE44,Vartika,Vartika@mycollege.in
1401CH44,Danish,Danish@mycollege.in
1401CS44,Madhav,Madhav@mycollege.in
1401CT44,Shrishti,Shrishti@mycollege.in
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in
1401MC41,Asutosh,Asutosh@mycollege.in
1401MM41,Pranav,Pranav@mycollege.in
1401MT41,Jashveer,Jashveer@mycollege.in
1401AI45,Prakhar,Prakhar@mycollege.in
1401CB45,Isha,Isha@mycollege.in
1401CE45,Aviral,Aviral@mycollege.in
1401CH45,Tamanna,Tamanna@mycollege.in
1401CS45,Divyam,Divyam@mycollege.in
1401CT45,Amrit,Amrit@mycollege.in
1401EC45,Nishtha,Nishtha@mycollege.in
1401MC42,Pradip,Pradip@mycollege.in
1401MM42,Babu,Babu@mycollege.in
1401MT42,Nargis,Nargis@mycollege.in
1401CB46,Sumit,Sumit@mycollege.in
1401CE46,Abdul,Abdul@mycollege.in
1401CH46,Unnati,Unnati@mycollege.in
1401CS46,Kirti,Kirti@mycollege.in
1401CT46,Arman,Arman@mycollege.in
1401EC46,Dilip,Dilip@mycollege.in
1401MC43,Mrityunjay,Mrityunjay@mycollege.in
1401MM43,Bibhu,Bibhu@mycollege.in
1401MT43,Shreyans,Shreyans@mycollege.in
1401CB47,Kishan,Kishan@mycollege.in
1401CE47,Sumeet,Sumeet@mycollege.in
1401CH47,Sachin,Sachin@mycollege.in
1401CS47,Annanya,Annanya@mycollege.in
1401CT47,Archana,Archana@mycollege.in
1401EC47,Ramanakanth,Ramanakanth@mycollege.in
1401MC44,Kavish,Kavish@mycollege.in
1401MM44,Chirayu,Chirayu@mycollege.in
1401MT44,Manaswini,Manaswini@mycollege.in
1401CB48,Pawan,Pawan@mycollege.in
1401CE48,Prerna,Prerna@mycollege.in
1401CH48,Anupam,Anupam@mycollege.in
1401CS48,Arunima,Arunima@mycollege.in
1401CT48,Avanish,Avanish@mycollege.in
1401EC48,Durgesh,Durgesh@mycollege.in
1401MC45,Monica,Monica@mycollege.in
1401MM45,Sameeksha,Sameeksha@mycollege.in
1401MT45,Neelu,Neelu@mycollege.in
1401CB49,Soumya,Soumya@mycollege.in
1401CE49,Nupur,Nupur@mycollege.in
1401CH49,Shailesh,Shailesh@mycollege.in
1401CS49,Niteesh,Niteesh@mycollege.in
1401CT49,Yusuf,Yusuf@mycollege.in
1401EC49,Dipa,Dipa@mycollege.in
1401MC46,Sabareesh,Sabareesh@mycollege.in
1401MM46,Ashmita,Ashmita@mycollege.in
1401MT46,Mukund,Mukund@mycollege.in
1401CB50,Neelesh,Neelesh@mycollege.in
1401CE50,Neha,Neha@mycollege.in
1401CH50,Shoaib,Shoaib@mycollege.in
1401CS50,Nithisha,Nithisha@mycollege.in
1401CT50,Anubhav,Anubhav@mycollege.in
1401EC50,Rohith,Rohith@mycollege.in
1401MC47,Lakshmi,Lakshmi@mycollege.in
1401MM47,Chhavi,Chhavi@mycollege.in
1401MT47,Eshma,Eshma@mycollege.in
1401CE51,Vikas,Vikas@mycollege.in
1401CH51,Vishnu,Vishnu@mycollege.in
1401CS51,Sandhya,Sandhya@mycollege.in
1401CT51,Anita,Anita@mycollege.in
1401EC51,Jagadeesh,Jagadeesh@mycollege.in
1401MC48,Love,Love@mycollege.in
1401MM48,Shreepriya,Shreepriya@mycollege.in
1401MT48,Aruba,Aruba@mycollege.in
1401CE52,Vanshika,Vanshika@mycollege.in
1401CH52,Surya,Surya@mycollege.in
1401CS52,Uttam,Uttam@mycollege.in
1401CT52,Anupriya,Anupriya@mycollege.in
1401EC52,Indu,Indu@mycollege.in
1401MC49,Lekhraj,Lekhraj@mycollege.in
1401MM49,Nahid,Nahid@mycollege.in
1401MT49,Ehtisham,Ehtisham@mycollege.in
1401CE53,Rohan,Rohan@mycollege.in
1401CH53,Pankaj,Pankaj@mycollege.in
1401CS53,Vatsalya,Vatsalya@mycollege.in
1401CT53,Anukriti,Anukriti@mycollege.in
1401EC53,Shyam,Shyam@mycollege.in
1401MC50,Sahil,Sahil@mycollege.in
1401MM50,Sharique,Sharique@mycollege.in
1401MT50,Nitya,Nitya@mycollege.in
1401CE54,Shivansh,Shivansh@mycollege.in
1401CH54,Kaif,Kaif@mycollege.in
1401CS54,Aparna,Aparna@mycollege.in
1401CT54,Kritika,Kritika@mycollege.in
1401EC54,Shreyas,Shreyas@mycollege.in
1401MC51,Seshikanth,Seshikanth@mycollege.in
1401MM51,Anusha,Anusha@mycollege.in
1401MT51,Nishu,Nishu@mycollege.in
1401CE55,Sunil,Sunil@mycollege.in
1401CH55,Pooja,Pooja@mycollege.in
1401CS55,Disha,Disha@mycollege.in
1401CT55,Jaya,Jaya@mycollege.in
1401MC52,Kalpana,Kalpana@mycollege.in
1401MM52,Anunay,Anunay@mycollege.in
1401MT52,Noorsaba,Noorsaba@mycollege.in
1401CE56,Juhi,Juhi@mycollege.in
1401CH56,Gayathri,Gayathri@mycollege.in
1401CS56,Seema,Seema@mycollege.in
1401CT56,Namrata,Namrata@mycollege.in
1401MC53,Santosh,Santosh@mycollege.in
1401MM53,Vidit,Vidit@mycollege.in
1401MT53,Punya,Punya@mycollege.in
1401CH57,Pradeep,Pradeep@mycollege.in
1401CS57,Suryansh,Suryansh@mycollege.in
1401CT57,Kushagra,Kushagra@mycollege.in
1401MC54,Kapil,Kapil@mycollege.in
1401MM54,Shwetanshi,Shwetanshi@mycollege.in
1401MT54,Nihal,Nihal@mycollege.in
1401CH58,Ritu,Ritu@mycollege.in
1401CS58,Yashaswi,Yashaswi@mycollege.in
1401CT58,Hariom,Hariom@mycollege.in
1401MC55,Subash,Subash@mycollege.in
1401MM55,Anshit,Anshit@mycollege.in
1401MT55,Devyanti,Devyanti@mycollege.in
1401CH59,Dinesh,Dinesh@mycollege.in
1401CS59,Avinash,Avinash@mycollege.in
1401CT59,Gargi,Gargi@mycollege.in
