Roll,Name,Email
1401AI15,Amit,Amit@mycollege.in
1401CB15,Nisha,Nisha@mycollege.in
1401CE15,Jyoti,Jyoti@mycollege.in
1401CH15,Muskaan,Muskaan@mycollege.in
1401CS15,Aayushi,Aayushi@mycollege.in
1401CT15,Varsha,Varsha@mycollege.in
1401EC15,Prakhyat,Prakhyat@mycollege.in
1401MC14,Lalit,Lalit@mycollege.in
1401MM14,Chandran,Chandran@mycollege.in
1401MT14,Elamathi,Elamathi@mycollege.in
1401AI16,Saumya,Saumya@mycollege.in
1401CB16,Arun,Arun@mycollege.in
1401CE16,Parul,Parul@mycollege.in
1401CH16,Divyansh,Divyansh@mycollege.in
1401CS16,Akshay,Akshay@mycollege.in
1401CT16,Sunny,Sunny@mycollege.in
1401EC16,Saket,Saket@mycollege.in
1401MC15,Urmila,Urmila@mycollege.in
1401MM15,Anshul,Anshul@mycollege.in
1401MT15,Vasundhara,Vasundhara@mycollege.in
1401AI17,Rishabh,Rishabh@mycollege.in
1401CB17,Pallavi,Pallavi@mycollege.in
1401CE17,Shambhavi,Shambhavi@mycollege.in
1401CH17,Kushal,Kushal@mycollege.in
1401CS17,Shekhar,Shekhar@mycollege.in
1401CT17,Vineeta,Vineeta@mycollege.in
1401EC17,Rishika,Rishika@mycollege.in
1401MC16,Sudhakar,Sudhakar@mycollege.in
1401MM16,Saanchi,Saanchi@mycollege.in
1401MT16,Kandarp,Kandarp@mycollege.in
1401AI18,Shruti,Shruti@mycollege.in
1401CB18,Aniket,Aniket@mycollege.in
1401CE18,Anshu,Anshu@mycollege.in
1401CH18,Nitish,Nitish@mycollege.in
1401CS18,Amisha,Amisha@mycollege.in
1401CT18,Vibhanshu,Vibhanshu@mycollege.in
1401EC18,Satvik,Satvik@mycollege.in
1401MC17,Dhruva,Dhruva@mycollege.in
1401MM17,Aadil,Aadil@mycollege.in
1401MT17,Noopur,Noopur@mycollege.in
1401AI19,Himanshu,Himanshu@mycollege.in
1401CB19,Nikita,Nikita@mycollege.in
1401CE19,Keshav,Keshav@mycollege.in
1401CH19,Preeti,Preeti@mycollege.in
1401CS19,Amrita,Amrita@mycollege.in
1401CT19,Monti,Monti@mycollege.in
1401EC19,Sanskar,Sanskar@mycollege.in
1401MC18,Dhananjay,Dhananjay@mycollege.in
1401MM18,Ali,Ali@mycollege.in
1401MT18,Suchita,Suchita@mycollege.in
1401AI20,Kajal,Kajal@mycollege.in
1401CB20,Vijay,Vijay@mycollege.in
1401CE20,Prince,Prince@mycollege.in
1401CH20,Anand,Anand@mycollege.in
1401CS20,Sekhar,Sekhar@mycollege.in
1401CT20,Minakshi,Minakshi@mycollege.in
1401EC20,Prateek,Prateek@mycollege.in
1401MC19,Rama,Rama@mycollege.in
1401MM19,Nishant,Nishant@mycollege.in
1401MT19,Sumaiya,Sumaiya@mycollege.in
1401AI21,Ankit,Ankit@mycollege.in
1401CB21,Ananya,Ananya@mycollege.in
1401CE21,Prakash,Prakash@mycollege.in
1401CH21,Hemant,Hemant@mycollege.in
1401CS21,Kundalik,Kundalik@mycollege.in
1401CT21,Nitikarsh,Nitikarsh@mycollege.in
1401EC21,Prarthana,Prarthana@mycollege.in
1401MC20,Raj,Raj@mycollege.in
1401MM20,Aaditya,Aaditya@mycollege.in
1401MT20,Himanshi,Himanshi@mycollege.in
1401AI22,Gaurav,Gaurav@mycollege.in
1401CB22,Priyanshi,Priyanshi@mycollege.in
1401CE22,Pratibha,Pratibha@mycollege.in
1401CH22,Amol,Amol@mycollege.in
1401CS22,Durga,Durga@mycollege.in
1401CT22,Mugdha,Mugdha@mycollege.in
1401EC22,Rekha,Rekha@mycollege.in
1401MC21,Chinmay,Chinmay@mycollege.in
1401MM21,Vipasha,Vipasha@mycollege.in
1401MT21,Ibrahim,Ibrahim@mycollege.in
1401AI23,Nikhil,Nikhil@mycollege.in
1401CB23,Suraj,Suraj@mycollege.in
1401CE23,Praveen,Praveen@mycollege.in
1401CH23,Sonal,Sonal@mycollege.in
1401CS23,Apurva,Apurva@mycollege.in
1401CT23,Madhu,Madhu@mycollege.in
1401EC23,Pratham,Pratham@mycollege.in
1401MC22,Chahat,Chahat@mycollege.in
1401MM22,Abbas,Abbas@mycollege.in
1401MT22,Jagriti,Jagriti@mycollege.in
1401AI24,Siddharth,Siddharth@mycollege.in
1401CB24,Akshat,Akshat@mycollege.in
1401CE24,Priyanshu,Priyanshu@mycollege.in
1401CH24,Rishab,Rishab@mycollege.in
1401CS24,Alka,Alka@mycollege.in
1401CT24,Khanak,Khanak@mycollege.in
1401EC24,Devanshu,Devanshu@mycollege.in
1401MC23,Sourav,Sourav@mycollege.in
1401MM23,Anubha,Anubha@mycollege.in
1401MT23,Khansa,Khansa@mycollege.in
1401AI25,Prashant,Prashant@mycollege.in
1401CB25,Ishika,Ishika@mycollege.in
1401CE25,Kshitij,Kshitij@mycollege.in
1401CH25,Shashwat,Shashwat@mycollege.in
1401CS25,Indora,Indora@mycollege.in
1401CT25,Megha,Megha@mycollege.in
1401EC25,Devansh,Devansh@mycollege.in
1401MC24,Desh,Desh@mycollege.in
1401MM24,Chandra,Chandra@mycollege.in
1401MT24,Kunaal,Kunaal@mycollege.in
1401AI26,Priya,Priya@mycollege.in
1401CB26,Mohit,Mohit@mycollege.in
1401CE26,Arushi,Arushi@mycollege.in
1401CH26,Shatakshi,Shatakshi@mycollege.in
1401CS26,Aqsa,Aqsa@mycollege.in
1401CT26,Manya,Manya@mycollege.in
1401EC26,Dolly,Dolly@mycollege.in
1401MC25,Raashi,Raashi@mycollege.in
1401MM25,Ayesha,Ayesha@mycollege.in
1401MT25,Ishwa,Ishwa@mycollege.in
1401AI27,Harshit,Harshit@mycollege.in
1401CB27,Palak,Palak@mycollege.in
1401CE27,Ishan,Ishan@mycollege.in
1401CH27,Supriya,Supriya@mycollege.in
1401CS27,Anwar,Anwar@mycollege.in
1401CT27,Pakhi,Pakhi@mycollege.in
1401EC27,Dhruv,Dhruv@mycollege.in
1401MC26,Ram,Ram@mycollege.in
1401MM26,Rizwa,Rizwa@mycollege.in
1401MT26,Joshika,Joshika@mycollege.in
1401AI28,Shashank,Shashank@mycollege.in
1401CB28,Ankur,Ankur@mycollege.in
1401CE28,Garima,Garima@mycollege.in
1401CH28,Anchal,Anchal@mycollege.in
1401CS28,Apratim,Apratim@mycollege.in
1401CT28,Ranu,Ranu@mycollege.in
1401EC28,Deeksha,Deeksha@mycollege.in
